ID,start,end,latency
0,1713181318129.0608,1713181318056.3127,72.74794578552246
1,1713181318119.47,1713181318056.985,62.4847412109375
2,1713181318122.7336,1713181318057.5098,65.22393226623535
3,1713181318117.3555,1713181318057.9893,59.36598777770996
4,1713181318127.4692,1713181318058.5737,68.89557838439941
5,1713181318123.89,1713181318059.052,64.83793258666992
6,1713181318127.1895,1713181318059.545,67.64459609985352
7,1713181318120.2964,1713181318060.0212,60.27531623840332
8,1713181318128.464,1713181318060.5,67.96431541442871
9,1713181318128.2644,1713181318061.02,67.24429130554199
10,1713181318126.46,1713181318061.5093,64.95070457458496
11,1713181318114.861,1713181318062.0251,52.835941314697266
12,1713181318131.1453,1713181318062.5305,68.61472129821777
13,1713181318121.935,1713181318063.0276,58.907508850097656
14,1713181318123.6455,1713181318063.6409,60.00471115112305
15,1713181318115.9873,1713181318064.5393,51.44810676574707
16,1713181318145.9456,1713181318114.9534,30.99226951599121
17,1713181318143.3213,1713181318116.2827,27.03857421875
18,1713181318183.4868,1713181318117.414,66.07294082641602
19,1713181318168.3196,1713181318119.5386,48.78091812133789
20,1713181318157.904,1713181318120.5386,37.36567497253418
21,1713181318158.9297,1713181318121.9888,36.940813064575195
22,1713181318184.1526,1713181318122.9607,61.19179725646973
23,1713181318167.5474,1713181318124.0767,43.47085952758789
24,1713181318172.2607,1713181318124.5303,47.730445861816406
25,1713181318153.6387,1713181318126.5068,27.13179588317871
26,1713181318163.5686,1713181318127.6528,35.91561317443848
27,1713181318175.266,1713181318128.4849,46.781063079833984
28,1713181318182.7625,1713181318129.2124,53.550004959106445
29,1713181318177.2917,1713181318129.5593,47.73235321044922
30,1713181318182.3936,1713181318130.067,52.32667922973633
31,1713181318178.1772,1713181318131.5503,46.627044677734375
32,1713181318184.97,1713181318143.398,41.571855545043945
33,1713181318185.7576,1713181318146.0037,39.75391387939453
34,1713181318189.1204,1713181318153.7085,35.411834716796875
35,1713181318190.9385,1713181318157.9678,32.97066688537598
36,1713181318189.9177,1713181318158.9749,30.942916870117188
37,1713181318192.4856,1713181318163.6318,28.853654861450195
38,1713181318194.1663,1713181318167.6038,26.56245231628418
39,1713181318195.9517,1713181318168.531,27.420759201049805
40,1713181318197.255,1713181318172.3203,24.93453025817871
41,1713181318199.1218,1713181318175.3223,23.799419403076172
42,1713181318197.8875,1713181318177.3398,20.54762840270996
43,1713181318201.0142,1713181318178.2256,22.788524627685547
44,1713181318202.2393,1713181318182.7864,19.452810287475586
45,1713181318202.8853,1713181318183.5095,19.37556266784668
46,1713181318205.2217,1713181318184.3462,20.87545394897461
47,1713181318203.9656,1713181318185.1362,18.829345703125
48,1713181318214.145,1713181318185.921,28.22399139404297
49,1713181318208.1096,1713181318186.472,21.637678146362305
50,1713181318215.2744,1713181318189.1802,26.09419822692871
51,1713181318220.1045,1713181318190.1345,29.96993064880371
52,1713181318243.4565,1713181318190.984,52.472829818725586
53,1713181318236.7505,1713181318192.5303,44.2202091217041
54,1713181318235.448,1713181318194.2112,41.23663902282715
55,1713181318246.3125,1713181318195.9976,50.314903259277344
56,1713181318226.2605,1713181318197.2974,28.963088989257812
57,1713181318242.559,1713181318198.0776,44.481515884399414
58,1713181318237.6606,1713181318199.1675,38.49315643310547
59,1713181318222.266,1713181318201.0593,21.20685577392578
60,1713181318261.584,1713181318202.2842,59.29994583129883
61,1713181318254.493,1713181318203.0627,51.43022537231445
62,1713181318250.505,1713181318204.012,46.4930534362793
63,1713181318252.5059,1713181318205.2642,47.2416877746582
64,1713181318256.8718,1713181318208.1648,48.70724678039551
65,1713181318262.2385,1713181318214.2131,48.02536964416504
66,1713181318255.1572,1713181318215.327,39.83020782470703
67,1713181318267.263,1713181318220.175,47.087907791137695
68,1713181318260.6594,1713181318222.3186,38.34080696105957
69,1713181318266.3152,1713181318226.324,39.991140365600586
70,1713181318269.1067,1713181318235.5469,33.55979919433594
71,1713181318271.4963,1713181318236.8086,34.68775749206543
72,1713181318270.6938,1713181318237.7095,32.984256744384766
73,1713181318272.2573,1713181318242.6255,29.631853103637695
74,1713181318272.9807,1713181318243.6865,29.294252395629883
75,1713181318273.8398,1713181318246.372,27.467966079711914
76,1713181318276.9626,1713181318250.5732,26.389598846435547
77,1713181318277.7434,1713181318252.5613,25.182008743286133
78,1713181318280.7659,1713181318254.5432,26.22246742248535
79,1713181318279.6255,1713181318255.3457,24.27959442138672
80,1713181318283.3545,1713181318256.9172,26.43728256225586
81,1713181318281.6077,1713181318260.73,20.877599716186523
82,1713181318285.015,1713181318261.6294,23.38552474975586
83,1713181318284.2795,1713181318262.4163,21.863222122192383
84,1713181318286.3396,1713181318266.3796,19.95992660522461
85,1713181318303.4246,1713181318267.3086,36.11588478088379
86,1713181318290.0957,1713181318269.1577,20.93815803527832
87,1713181318301.3457,1713181318270.742,30.603885650634766
88,1713181318305.7524,1713181318271.6794,34.0731143951416
89,1713181318300.139,1713181318272.4236,27.715444564819336
90,1713181318307.511,1713181318273.15,34.36112403869629
91,1713181318308.6328,1713181318273.8823,34.75046157836914
92,1713181318302.7068,1713181318277.021,25.685787200927734
93,1713181318315.0337,1713181318277.9512,37.08243370056152
94,1713181318313.2363,1713181318279.6738,33.562421798706055
95,1713181318311.275,1713181318280.808,30.466794967651367
96,1713181318320.0938,1713181318281.6462,38.44738006591797
97,1713181318318.286,1713181318283.41,34.876108169555664
98,1713181318319.1306,1713181318284.3323,34.798383712768555
99,1713181318317.4546,1713181318285.1868,32.26780891418457
100,1713181318310.4502,1713181318286.3833,24.066686630249023
101,1713181318322.453,1713181318290.153,32.29975700378418
102,1713181318341.0564,1713181318300.2234,40.8329963684082
103,1713181318350.119,1713181318301.401,48.71797561645508
104,1713181318334.0002,1713181318302.7585,31.241893768310547
105,1713181318323.3376,1713181318303.6177,19.719839096069336
106,1713181318351.116,1713181318305.7996,45.316457748413086
107,1713181318357.186,1713181318307.5598,49.62635040283203
108,1713181318361.0894,1713181318308.6807,52.408695220947266
109,1713181318340.7473,1713181318310.4954,30.25197982788086
110,1713181318344.5696,1713181318311.3179,33.25176239013672
111,1713181318358.0706,1713181318313.299,44.771432876586914
112,1713181318350.88,1713181318315.0847,35.79521179199219
113,1713181318366.281,1713181318317.5173,48.76375198364258
114,1713181318361.8674,1713181318318.4888,43.378591537475586
115,1713181318368.6384,1713181318319.3174,49.32117462158203
116,1713181318367.3308,1713181318320.14,47.19090461730957
117,1713181318366.5903,1713181318322.5068,44.083356857299805
118,1713181318369.7786,1713181318323.3826,46.39601707458496
119,1713181318367.9092,1713181318334.094,33.81514549255371
120,1713181318372.2812,1713181318341.0757,31.20565414428711
121,1713181318374.2375,1713181318341.5386,32.698869705200195
122,1713181318373.046,1713181318344.6262,28.41973304748535
123,1713181318376.4167,1713181318350.191,26.225805282592773
124,1713181318375.7104,1713181318351.286,24.42455291748047
125,1713181318379.253,1713181318351.6714,27.581453323364258
126,1713181318377.602,1713181318357.2556,20.346403121948242
127,1713181318378.2979,1713181318358.2925,20.005226135253906
128,1713181318381.4424,1713181318361.149,20.293474197387695
129,1713181318382.077,1713181318362.1304,19.946575164794922
130,1713181318383.457,1713181318366.6106,16.846418380737305
131,1713181318394.918,1713181318367.351,27.566909790039062
132,1713181318389.4797,1713181318368.0806,21.39902114868164
133,1713181318396.5066,1713181318368.7778,27.728796005249023
134,1713181318395.1917,1713181318369.2505,25.941133499145508
135,1713181318399.5417,1713181318370.035,29.506921768188477
136,1713181318405.537,1713181318372.3376,33.19954872131348
137,1713181318398.9229,1713181318373.2388,25.684118270874023
138,1713181318409.391,1713181318374.28,35.111188888549805
139,1713181318422.5483,1713181318375.7625,46.785831451416016
140,1713181318414.8054,1713181318376.6072,38.198232650756836
141,1713181318422.323,1713181318377.651,44.67201232910156
142,1713181318402.7751,1713181318378.5332,24.241924285888672
143,1713181318400.5374,1713181318379.4336,21.103620529174805
144,1713181318418.561,1713181318381.4854,37.07551956176758
145,1713181318419.3093,1713181318382.2473,37.06216812133789
146,1713181318415.6057,1713181318383.5083,32.097578048706055
147,1713181318421.6016,1713181318389.5483,32.053232192993164
148,1713181318443.8328,1713181318395.2083,48.624515533447266
149,1713181318428.8406,1713181318395.675,33.165693283081055
150,1713181318424.224,1713181318396.5493,27.67491340637207
151,1713181318427.211,1713181318398.9695,28.241634368896484
152,1713181318432.3977,1713181318399.7122,32.68551826477051
153,1713181318430.849,1713181318400.577,30.272245407104492
154,1713181318451.7725,1713181318402.8184,48.954010009765625
155,1713181318441.639,1713181318405.609,36.03005409240723
156,1713181318447.0513,1713181318409.4531,37.5981330871582
157,1713181318450.205,1713181318414.878,35.32719612121582
158,1713181318450.9854,1713181318415.799,35.1862907409668
159,1713181318456.4517,1713181318418.6138,37.837982177734375
160,1713181318457.3892,1713181318419.4783,37.91093826293945
161,1713181318459.1484,1713181318421.652,37.496328353881836
162,1713181318460.7532,1713181318422.6853,38.06781768798828
163,1713181318463.2563,1713181318423.0513,40.20500183105469
164,1713181318462.6475,1713181318424.263,38.384437561035156
165,1713181318464.8037,1713181318427.2659,37.53781318664551
166,1713181318467.7676,1713181318428.8843,38.883209228515625
167,1713181318464.24,1713181318430.8955,33.34450721740723
168,1713181318468.4807,1713181318432.442,36.038875579833984
169,1713181318471.5793,1713181318441.7136,29.865741729736328
170,1713181318469.405,1713181318443.8936,25.51126480102539
171,1713181318470.7551,1713181318447.1035,23.651599884033203
172,1713181318474.4045,1713181318450.2588,24.145841598510742
173,1713181318475.3845,1713181318451.1963,24.18828010559082
174,1713181318475.112,1713181318451.9316,23.180246353149414
175,1713181318476.3733,1713181318456.507,19.866228103637695
176,1713181318484.8901,1713181318457.429,27.46129035949707
177,1713181318488.9778,1713181318459.1936,29.783964157104492
178,1713181318486.687,1713181318460.7964,25.890588760375977
179,1713181318497.0247,1713181318462.6936,34.33108329772949
180,1713181318485.7917,1713181318463.4207,22.37105369567871
181,1713181318493.4028,1713181318464.279,29.123783111572266
182,1713181318487.728,1713181318464.9607,22.76754379272461
183,1713181318512.052,1713181318467.8203,44.23165321350098
184,1713181318509.685,1713181318468.652,41.033029556274414
185,1713181318492.315,1713181318469.4453,22.86982536315918
186,1713181318498.1343,1713181318470.7969,27.33755111694336
187,1713181318501.1965,1713181318471.6187,29.577970504760742
188,1713181318507.4504,1713181318474.4565,32.99379348754883
189,1713181318513.7366,1713181318475.5212,38.21516036987305
190,1713181318511.3552,1713181318475.8733,35.481929779052734
191,1713181318508.9973,1713181318476.6248,32.372474670410156
192,1713181318515.0793,1713181318484.9526,30.126571655273438
193,1713181318520.1726,1713181318485.835,34.337520599365234
194,1713181318518.3984,1713181318486.7285,31.670093536376953
195,1713181318524.6094,1713181318487.7676,36.841630935668945
196,1713181318519.3164,1713181318489.0183,30.298233032226562
197,1713181318526.2517,1713181318492.3674,33.884286880493164
198,1713181318527.985,1713181318493.4443,34.540653228759766
199,1713181318527.0142,1713181318497.0776,29.936552047729492
200,1713181318520.9902,1713181318498.1768,22.81332015991211
201,1713181318533.7446,1713181318501.2512,32.49335289001465
202,1713181318538.0344,1713181318507.5215,30.51304817199707
203,1713181318532.0933,1713181318509.0427,23.050546646118164
204,1713181318549.1282,1713181318509.8928,39.235591888427734
205,1713181318550.3113,1713181318511.4014,38.909912109375
206,1713181318544.2898,1713181318512.2366,32.053232192993164
207,1713181318543.3884,1713181318513.7788,29.60968017578125
208,1713181318545.2275,1713181318515.1233,30.10416030883789
209,1713181318557.6406,1713181318518.4558,39.1848087310791
210,1713181318547.3535,1713181318519.5278,27.825593948364258
211,1713181318551.0557,1713181318520.3594,30.696392059326172
212,1713181318556.0493,1713181318521.1707,34.87873077392578
213,1713181318562.5696,1713181318524.665,37.90450096130371
214,1713181318554.3706,1713181318526.3008,28.06997299194336
215,1713181318559.7202,1713181318527.204,32.5162410736084
216,1713181318561.407,1713181318528.167,33.24007987976074
217,1713181318569.6038,1713181318532.1562,37.447452545166016
218,1713181318565.4705,1713181318533.7927,31.677722930908203
219,1713181318576.4065,1713181318538.1353,38.271188735961914
220,1713181318575.2112,1713181318543.4624,31.74877166748047
221,1713181318582.0332,1713181318544.518,37.51516342163086
222,1713181318570.9944,1713181318545.439,25.55537223815918
223,1713181318572.1123,1713181318547.4053,24.70707893371582
224,1713181318587.5305,1713181318549.177,38.353681564331055
225,1713181318581.6128,1713181318550.3633,31.249523162841797
226,1713181318583.5203,1713181318551.2537,32.26661682128906
227,1713181318584.5308,1713181318554.4382,30.092477798461914
228,1713181318592.761,1713181318556.0984,36.66257858276367
229,1713181318596.4827,1713181318557.6868,38.79594802856445
230,1713181318590.757,1713181318559.7695,30.98750114440918
231,1713181318593.7192,1713181318561.4563,32.26304054260254
232,1713181318592.0466,1713181318562.621,29.425621032714844
233,1713181318599.7466,1713181318565.5261,34.22069549560547
234,1713181318597.956,1713181318569.6729,28.283119201660156
235,1713181318607.7925,1713181318571.0442,36.74817085266113
236,1713181318608.6938,1713181318572.1592,36.53454780578613
237,1713181318618.807,1713181318575.2676,43.53928565979004
238,1713181318613.1057,1713181318576.4517,36.653995513916016
239,1713181318615.0305,1713181318582.0793,32.95111656188965
240,1713181318620.8616,1713181318582.6602,38.201332092285156
241,1713181318610.227,1713181318583.704,26.523113250732422
242,1713181318623.991,1713181318584.577,39.414167404174805
243,1713181318620.0828,1713181318587.589,32.49382972717285
244,1713181318625.1619,1713181318590.821,34.340858459472656
245,1713181318622.475,1713181318592.0977,30.37738800048828
246,1713181318625.9382,1713181318592.9434,32.994747161865234
247,1713181318630.2073,1713181318593.764,36.443471908569336
248,1713181318629.8303,1713181318596.5352,33.2951545715332
249,1713181318632.7363,1713181318598.003,34.73353385925293
250,1713181318638.2593,1713181318599.7937,38.46549987792969
251,1713181318632.082,1713181318607.862,24.219989776611328
252,1713181318645.793,1713181318608.9646,36.82827949523926
253,1713181318644.4011,1713181318610.2773,34.12365913391113
254,1713181318647.435,1713181318613.1643,34.270524978637695
255,1713181318648.1135,1713181318615.0881,33.025264739990234
256,1713181318650.3809,1713181318618.8674,31.513452529907227
257,1713181318656.8394,1713181318620.1443,36.695003509521484
