ID,start,end,latency
0,1713181343244.9658,1713181343089.164,155.80177307128906
1,1713181343380.845,1713181343089.877,290.9681797027588
2,1713181343289.6692,1713181343090.6003,199.06902313232422
3,1713181343433.5479,1713181343091.2412,342.30685234069824
4,1713181343278.2012,1713181343091.8003,186.4008903503418
5,1713181343262.2876,1713181343092.3894,169.89827156066895
6,1713181343267.3608,1713181343093.033,174.32785034179688
7,1713181343294.3525,1713181343093.6113,200.74129104614258
8,1713181343406.004,1713181343094.1704,311.83362007141113
9,1713181343406.7651,1713181343094.7146,312.05058097839355
10,1713181343357.0002,1713181343095.2864,261.71398162841797
11,1713181343310.5312,1713181343095.8894,214.64180946350098
12,1713181343226.7373,1713181343096.429,130.3083896636963
13,1713181343338.5383,1713181343096.9854,241.55306816101074
14,1713181343303.4246,1713181343097.5457,205.87897300720215
15,1713181343345.2664,1713181343098.1335,247.1327781677246
16,1713181343275.244,1713181343098.7722,176.47171020507812
17,1713181343222.866,1713181343099.3384,123.52776527404785
18,1713181343353.4578,1713181343099.9106,253.54695320129395
19,1713181343233.9976,1713181343100.9026,133.09502601623535
20,1713181343357.8752,1713181343101.7832,256.0920715332031
21,1713181343263.8296,1713181343102.4326,161.39674186706543
22,1713181343360.519,1713181343103.1763,257.3425769805908
23,1713181343312.768,1713181343104.5505,208.21738243103027
24,1713181343354.7246,1713181343105.1155,249.60923194885254
25,1713181343238.021,1713181343105.8035,132.2174072265625
26,1713181343313.531,1713181343106.5286,207.0024013519287
27,1713181343367.0015,1713181343107.0732,259.92822647094727
28,1713181343362.9617,1713181343107.7969,255.16486167907715
29,1713181343239.062,1713181343108.4568,130.60522079467773
30,1713181343336.9968,1713181343108.9902,228.00660133361816
31,1713181343316.3489,1713181343109.534,206.81476593017578
32,1713181343261.012,1713181343110.1326,150.8796215057373
33,1713181343219.3582,1713181343110.6775,108.68072509765625
34,1713181343359.1855,1713181343111.2288,247.9567527770996
35,1713181343270.4414,1713181343111.8047,158.63656997680664
36,1713181343350.7117,1713181343112.354,238.3575439453125
37,1713181343326.5298,1713181343112.8865,213.64331245422363
38,1713181343356.2385,1713181343113.4126,242.82598495483398
39,1713181343243.7988,1713181343113.9438,129.85491752624512
40,1713181343287.2764,1713181343114.5295,172.7466583251953
41,1713181343369.6792,1713181343115.0508,254.62841987609863
42,1713181343292.0732,1713181343115.6365,176.4366626739502
43,1713181343281.5835,1713181343116.1797,165.4038429260254
44,1713181343323.8323,1713181343116.7305,207.10182189941406
45,1713181343328.1323,1713181343117.2588,210.87360382080078
46,1713181343403.4731,1713181343117.7878,285.68530082702637
47,1713181343343.9568,1713181343118.3274,225.62932968139648
48,1713181343335.8376,1713181343118.8813,216.95613861083984
49,1713181343284.7546,1713181343119.4038,165.35091400146484
50,1713181343251.3457,1713181343119.9253,131.42037391662598
51,1713181343271.337,1713181343120.4565,150.8805751800537
52,1713181343321.668,1713181343121.0078,200.65999031066895
53,1713181343219.7212,1713181343121.5583,98.16265106201172
54,1713181343260.6387,1713181343122.1626,138.47613334655762
55,1713181343301.427,1713181343122.7043,178.72262001037598
56,1713181343335.3723,1713181343123.2866,212.08548545837402
