ID,start,end,latency
0,1713181381999.815,1713181381079.7026,920.1123714447021
1,1713181382227.2249,1713181381080.5967,1146.6281414031982
2,1713181381917.6895,1713181381081.363,836.3265991210938
3,1713181381710.6072,1713181381082.0269,628.5803318023682
4,1713181381852.4985,1713181381082.6892,769.8092460632324
5,1713181381756.4954,1713181381083.342,673.1534004211426
6,1713181381561.788,1713181381083.9675,477.82063484191895
7,1713181381742.434,1713181381084.7698,657.6642990112305
8,1713181382005.0452,1713181381085.5723,919.4729328155518
9,1713181381745.6938,1713181381086.2573,659.4367027282715
10,1713181381929.8699,1713181381086.9612,842.9086208343506
11,1713181381759.948,1713181381087.6826,672.2652912139893
12,1713181382148.7375,1713181381088.4094,1060.3280067443848
13,1713181381728.6748,1713181381089.0457,639.6291255950928
14,1713181381503.3503,1713181381089.6484,413.70177268981934
15,1713181381643.488,1713181381090.2737,553.2143115997314
16,1713181381984.837,1713181381090.826,894.0107822418213
17,1713181381628.5464,1713181381091.4202,537.1263027191162
18,1713181382125.944,1713181381091.9968,1033.947229385376
19,1713181382184.0977,1713181381092.6768,1091.421127319336
20,1713181381600.357,1713181381093.2673,507.08937644958496
21,1713181382058.4922,1713181381093.8274,964.6646976470947
22,1713181381888.4321,1713181381094.4094,794.0225601196289
23,1713181381962.8904,1713181381094.9749,867.9156303405762
24,1713181382029.3916,1713181381095.623,933.7685108184814
25,1713181381766.3662,1713181381096.207,670.159101486206
26,1713181381735.0217,1713181381096.7793,638.2424831390381
27,1713181381516.564,1713181381097.3445,419.2194938659668
28,1713181382096.761,1713181381097.9294,998.8315105438232
29,1713181381547.6394,1713181381098.5513,449.08809661865234
30,1713181381703.1523,1713181381099.121,604.0313243865967
31,1713181381698.6187,1713181381099.6875,598.931074142456
32,1713181381803.718,1713181381100.2761,703.441858291626
33,1713181381704.5103,1713181381100.848,603.6622524261475
34,1713181381445.659,1713181381101.4165,344.2423343658447
35,1713181381795.3516,1713181381102.1973,693.1543350219727
36,1713181381867.5564,1713181381103.716,763.8401985168457
37,1713181382130.31,1713181381104.4644,1025.8457660675049
38,1713181381749.705,1713181381105.2021,644.5028781890869
39,1713181382024.396,1713181381106.1194,918.2765483856201
40,1713181382122.0037,1713181381106.8687,1015.1348114013672
41,1713181381945.4575,1713181381107.477,837.9805088043213
42,1713181381849.023,1713181381108.0315,740.9913539886475
43,1713181381898.7961,1713181381108.5696,790.2264595031738
44,1713181381908.5303,1713181381109.139,799.3912696838379
45,1713181382066.1265,1713181381109.6785,956.4478397369385
