ID,start,end,latency
0,1713181392814.265,1713181392070.5923,743.6723709106445
1,1713181392653.6028,1713181392071.477,582.1259021759033
2,1713181392431.9182,1713181392072.1035,359.8146438598633
3,1713181392699.763,1713181392072.659,627.1040439605713
4,1713181392717.8237,1713181392073.2964,644.5274353027344
5,1713181393391.5923,1713181392073.8105,1317.781686782837
6,1713181393161.6501,1713181392074.3262,1087.3239040374756
7,1713181392340.4944,1713181392074.8445,265.64979553222656
8,1713181393120.8901,1713181392075.371,1045.5191135406494
9,1713181393056.54,1713181392075.8953,980.644702911377
10,1713181393064.9194,1713181392076.4983,988.4212017059326
11,1713181393163.789,1713181392076.981,1086.8079662322998
12,1713181392523.2935,1713181392077.4863,445.80721855163574
13,1713181392336.782,1713181392077.9758,258.8062286376953
14,1713181393109.0527,1713181392078.4817,1030.5709838867188
15,1713181392389.5554,1713181392079.034,310.52160263061523
16,1713181393122.0984,1713181392079.512,1042.5865650177002
17,1713181392491.6296,1713181392080.0059,411.6237163543701
18,1713181392495.4348,1713181392080.5142,414.9205684661865
19,1713181392811.906,1713181392080.9956,730.9105396270752
20,1713181392385.2156,1713181392083.7598,301.4557361602783
21,1713181392412.2102,1713181392084.3813,327.82888412475586
22,1713181392781.3474,1713181392084.974,696.373462677002
23,1713181393340.856,1713181392085.5437,1255.312442779541
24,1713181392401.9885,1713181392086.1802,315.8082962036133
25,1713181393116.0742,1713181392086.7478,1029.3264389038086
26,1713181392553.8276,1713181392087.319,466.5083885192871
27,1713181393065.4773,1713181392088.016,977.4613380432129
28,1713181392488.439,1713181392088.8315,399.60741996765137
29,1713181392528.839,1713181392089.5864,439.2526149749756
30,1713181393057.669,1713181392090.2898,967.379093170166
31,1713181393245.2356,1713181392090.9233,1154.3123722076416
32,1713181392447.1843,1713181392091.5054,355.6790351867676
33,1713181392375.7986,1713181392092.1042,283.6942672729492
34,1713181393100.896,1713181392092.7302,1008.1655979156494
35,1713181392352.9417,1713181392093.2605,259.68122482299805
36,1713181392654.9531,1713181392093.7854,561.1677169799805
37,1713181392308.9326,1713181392094.3708,214.56170082092285
38,1713181392776.1414,1713181392094.9255,681.215763092041
39,1713181392652.8154,1713181392095.5225,557.2929382324219
40,1713181392912.1729,1713181392096.0562,816.1165714263916
41,1713181393188.4575,1713181392096.555,1091.902494430542
42,1713181393056.8682,1713181392097.0525,959.815502166748
43,1713181392503.759,1713181392097.5398,406.2192440032959
44,1713181392300.3562,1713181392098.0996,202.256441116333
45,1713181392652.1064,1713181392098.592,553.5144805908203
46,1713181392532.9998,1713181392099.0789,433.92086029052734
47,1713181392515.1707,1713181392099.5913,415.57931900024414
48,1713181392706.8018,1713181392100.1267,606.6749095916748
49,1713181392654.3918,1713181392100.7483,553.6434650421143
50,1713181393194.64,1713181392101.2837,1093.3561325073242
51,1713181392487.428,1713181392101.788,385.63990592956543
52,1713181393152.9414,1713181392102.2983,1050.6432056427002
53,1713181392516.1785,1713181392102.7861,413.3923053741455
54,1713181393168.2854,1713181392103.3174,1064.9681091308594
55,1713181392654.5713,1713181392103.7852,550.7862567901611
56,1713181392918.653,1713181392104.2515,814.4016265869141
57,1713181393117.4468,1713181392104.7258,1012.721061706543
58,1713181392701.7058,1713181392105.204,596.5015888214111
59,1713181392653.024,1713181392105.7246,547.2993850708008
60,1713181392542.811,1713181392106.2114,436.5994930267334
61,1713181393469.3752,1713181392106.705,1362.6699447631836
62,1713181392335.5227,1713181392107.1953,228.32727432250977
63,1713181392527.0137,1713181392107.672,419.3415641784668
64,1713181392511.2888,1713181392108.2007,403.0880928039551
65,1713181392328.9233,1713181392108.674,220.24917602539062
66,1713181392501.217,1713181392109.1396,392.0774459838867
67,1713181392445.084,1713181392109.6072,335.4768753051758
68,1713181392311.9578,1713181392110.1428,201.81512832641602
69,1713181392654.7637,1713181392110.615,544.1486835479736
70,1713181392566.2773,1713181392111.0842,455.19304275512695
71,1713181392778.2034,1713181392111.5493,666.6538715362549
72,1713181392710.9858,1713181392112.0251,598.9606380462646
73,1713181392510.5164,1713181392112.556,397.9604244232178
74,1713181393371.1719,1713181392113.066,1258.105993270874
75,1713181392522.477,1713181392113.5466,408.93054008483887
76,1713181392898.129,1713181392114.0693,784.0597629547119
77,1713181392309.96,1713181392114.5479,195.41192054748535
78,1713181392663.661,1713181392116.0264,547.6346015930176
79,1713181393177.0469,1713181392116.575,1060.471773147583
80,1713181392663.9985,1713181392117.1003,546.898365020752
81,1713181392578.9465,1713181392117.621,461.32540702819824
82,1713181392567.6882,1713181392118.1838,449.5043754577637
83,1713181392653.9927,1713181392118.6807,535.3119373321533
84,1713181392379.076,1713181392119.2334,259.8426342010498
85,1713181392655.1316,1713181392119.7307,535.4008674621582
86,1713181392366.682,1713181392120.2502,246.4315891265869
87,1713181392564.9812,1713181392120.738,444.2431926727295
88,1713181392561.9858,1713181392121.2146,440.77110290527344
89,1713181393197.7034,1713181392121.691,1076.012372970581
90,1713181392653.2246,1713181392122.1816,531.0430526733398
91,1713181392680.9883,1713181392122.6968,558.2914352416992
92,1713181392712.9773,1713181392123.179,589.7984504699707
93,1713181393453.2026,1713181392123.6558,1329.5469284057617
94,1713181392695.8347,1713181392124.1365,571.6981887817383
95,1713181392805.963,1713181392124.6821,681.2806129455566
96,1713181392430.0884,1713181392125.2278,304.86059188842773
97,1713181392653.4136,1713181392125.7224,527.691125869751
98,1713181392420.1492,1713181392126.2336,293.9155101776123
99,1713181393282.0903,1713181392126.753,1155.3375720977783
100,1713181393101.1763,1713181392127.2837,973.8926887512207
101,1713181392570.7,1713181392127.7607,442.93928146362305
102,1713181392681.8582,1713181392128.2422,553.6158084869385
103,1713181392725.837,1713181392128.7114,597.1255302429199
104,1713181392418.344,1713181392129.208,289.1359329223633
105,1713181392403.62,1713181392129.6704,273.94962310791016
106,1713181392887.831,1713181392130.1775,757.6534748077393
107,1713181392689.7393,1713181392130.677,559.0622425079346
108,1713181392461.7136,1713181392131.178,330.5356502532959
109,1713181392760.1992,1713181392131.7383,628.4611225128174
110,1713181392702.7993,1713181392132.223,570.5764293670654
111,1713181392888.9912,1713181392132.7034,756.2878131866455
112,1713181392679.774,1713181392133.1775,546.5962886810303
113,1713181392427.0315,1713181392133.7014,293.33019256591797
114,1713181392890.1482,1713181392134.2085,755.9397220611572
115,1713181392684.0737,1713181392134.6868,549.3869781494141
116,1713181392654.201,1713181392135.1594,519.0415382385254
117,1713181392415.2444,1713181392135.67,279.5743942260742
118,1713181392314.1033,1713181392136.158,177.94537544250488
119,1713181392807.699,1713181392136.672,671.0269451141357
120,1713181393301.6875,1713181392137.1892,1164.4983291625977
121,1713181392731.0674,1713181392137.682,593.3854579925537
122,1713181393121.8552,1713181392138.2397,983.6153984069824
123,1713181392897.8154,1713181392138.7302,759.0851783752441
124,1713181393182.1016,1713181392139.2263,1042.8752899169922
125,1713181392686.8289,1713181392139.7056,547.1231937408447
126,1713181393449.5144,1713181392140.222,1309.2925548553467
127,1713181393375.4844,1713181392140.7031,1234.781265258789
128,1713181392383.122,1713181392141.1785,241.9435977935791
129,1713181392396.2893,1713181392141.663,254.62627410888672
130,1713181393078.139,1713181392142.1567,935.9819889068604
131,1713181392315.2993,1713181392143.1792,172.1200942993164
132,1713181392491.3098,1713181392143.6636,347.64623641967773
133,1713181392568.4116,1713181392144.1458,424.26586151123047
134,1713181393391.1965,1713181392144.6277,1246.5689182281494
135,1713181392413.3682,1713181392145.142,268.22614669799805
136,1713181392651.2693,1713181392145.6172,505.65195083618164
137,1713181392652.3384,1713181392146.105,506.23321533203125
138,1713181393160.6396,1713181392146.5913,1014.0483379364014
139,1713181392677.5764,1713181392147.0752,530.501127243042
140,1713181392503.467,1713181392147.5872,355.8800220489502
141,1713181392527.7532,1713181392148.0798,379.6732425689697
142,1713181393173.1062,1713181392148.5808,1024.5254039764404
143,1713181392915.3862,1713181392149.0625,766.3238048553467
144,1713181392920.483,1713181392149.5867,770.8961963653564
145,1713181392518.7139,1713181392150.073,368.6408996582031
146,1713181392668.4731,1713181392150.56,517.9131031036377
147,1713181392767.3496,1713181392151.0366,616.3129806518555
148,1713181392785.4636,1713181392151.5623,633.9013576507568
149,1713181392519.4766,1713181392152.04,367.43664741516113
150,1713181392722.5693,1713181392152.514,570.0552463531494
151,1713181392726.9648,1713181392152.9983,573.9667415618896
152,1713181393072.8574,1713181392153.4885,919.3687438964844
153,1713181393118.7944,1713181392154.0237,964.7707939147949
154,1713181392532.3103,1713181392154.5403,377.76994705200195
155,1713181392331.777,1713181392155.0725,176.70464515686035
156,1713181393169.1628,1713181392155.574,1013.5886669158936
157,1713181392500.7107,1713181392156.095,344.6156978607178
158,1713181393198.3076,1713181392156.6013,1041.7060852050781
159,1713181392426.5269,1713181392157.0847,269.442081451416
160,1713181393168.5913,1713181392157.577,1011.014461517334
161,1713181393173.4197,1713181392158.0725,1015.3472423553467
162,1713181392507.1794,1713181392158.6072,348.5722541809082
163,1713181392726.1663,1713181392159.0906,567.0757293701172
164,1713181392651.863,1713181392159.5776,492.28549003601074
165,1713181392714.1396,1713181392160.0947,554.0449619293213
166,1713181392786.5989,1713181392160.6616,625.9372234344482
167,1713181393200.2207,1713181392161.1663,1039.0543937683105
168,1713181392713.416,1713181392161.6606,551.755428314209
169,1713181392696.8691,1713181392162.1921,534.6770286560059
170,1713181392513.7927,1713181392162.6907,351.1021137237549
171,1713181392330.3303,1713181392163.2188,167.11163520812988
172,1713181393350.1436,1713181392163.7021,1186.441421508789
173,1713181392722.827,1713181392164.1797,558.6471557617188
174,1713181393359.573,1713181392164.6577,1194.9152946472168
175,1713181392528.6008,1713181392165.17,363.4309768676758
176,1713181392697.1584,1713181392165.6553,531.5029621124268
177,1713181392490.4387,1713181392166.142,324.2967128753662
178,1713181393065.2136,1713181392166.641,898.5724449157715
179,1713181392411.6997,1713181392167.1733,244.52638626098633
180,1713181393206.5354,1713181392167.6948,1038.8405323028564
181,1713181392506.9072,1713181392168.1743,338.7329578399658
182,1713181392519.8264,1713181392168.6616,351.1648178100586
183,1713181392762.733,1713181392169.1462,593.5866832733154
184,1713181392494.5632,1713181392170.0676,324.495792388916
185,1713181393199.8284,1713181392170.5625,1029.2658805847168
186,1713181393155.1238,1713181392171.0515,984.072208404541
187,1713181392390.3755,1713181392171.5334,218.8420295715332
188,1713181393185.7114,1713181392172.0413,1013.6702060699463
189,1713181393187.2507,1713181392172.5588,1014.6918296813965
190,1713181392530.2405,1713181392173.048,357.1925163269043
191,1713181393154.755,1713181392173.5308,981.2240600585938
192,1713181392545.24,1713181392174.0132,371.2267875671387
193,1713181392899.785,1713181392174.5303,725.2545356750488
194,1713181393195.7466,1713181392175.0474,1020.6992626190186
195,1713181393055.331,1713181392175.5388,879.7922134399414
196,1713181392711.4226,1713181392176.0344,535.3882312774658
197,1713181393104.6816,1713181392176.5535,928.1282424926758
198,1713181392462.697,1713181392177.055,285.642147064209
199,1713181392428.2585,1713181392177.541,250.7176399230957
200,1713181392365.596,1713181392178.0264,187.56961822509766
201,1713181392506.1829,1713181392178.5981,327.58474349975586
202,1713181393245.4966,1713181392179.1516,1066.344976425171
203,1713181392548.5884,1713181392179.6455,368.9427375793457
204,1713181392515.8987,1713181392180.1384,335.76035499572754
205,1713181392536.942,1713181392180.6372,356.3048839569092
206,1713181393153.2114,1713181392181.156,972.0554351806641
207,1713181392553.518,1713181392181.6418,371.8762397766113
208,1713181393385.1213,1713181392182.1316,1202.9898166656494
209,1713181393348.2441,1713181392182.6208,1165.623426437378
210,1713181392472.6174,1713181392183.136,289.48140144348145
211,1713181393169.3997,1713181392183.6223,985.7773780822754
212,1713181393147.0532,1713181392184.108,962.9452228546143
213,1713181392753.7725,1713181392184.5894,569.1831111907959
214,1713181392727.2217,1713181392185.0813,542.1404838562012
215,1713181393154.27,1713181392185.5957,968.6741828918457
216,1713181392529.0906,1713181392186.098,342.99278259277344
217,1713181393168.893,1713181392186.5867,982.3064804077148
218,1713181392502.8757,1713181392187.0972,315.7787322998047
219,1713181392936.9958,1713181392187.6252,749.3705749511719
220,1713181392721.4702,1713181392188.106,533.3640575408936
221,1713181393094.4048,1713181392188.5874,905.8172702789307
222,1713181392721.7168,1713181392189.0679,532.649040222168
223,1713181392524.8591,1713181392189.5498,335.3092670440674
224,1713181392572.5618,1713181392190.0935,382.46822357177734
225,1713181392370.3042,1713181392190.5845,179.7196865081787
226,1713181393062.2388,1713181392191.08,871.1585998535156
227,1713181393100.1284,1713181392191.5684,908.560037612915
228,1713181392511.5513,1713181392192.103,319.44823265075684
229,1713181392702.5283,1713181392192.5857,509.94253158569336
230,1713181393384.304,1713181392193.0688,1191.2353038787842
231,1713181393107.7358,1713181392193.5605,914.175271987915
232,1713181393118.566,1713181392194.0654,924.5007038116455
233,1713181393197.517,1713181392194.584,1002.9332637786865
234,1713181392304.7998,1713181392195.0715,109.72833633422852
235,1713181393153.9622,1713181392195.5496,958.4126472473145
236,1713181393338.7397,1713181392196.0378,1142.7018642425537
237,1713181392664.4363,1713181392196.9644,467.4720764160156
238,1713181392577.7517,1713181392197.5005,380.2511692047119
239,1713181392718.931,1713181392197.9888,520.942211151123
240,1713181392652.5872,1713181392198.4902,454.09703254699707
241,1713181392564.1802,1713181392198.9783,365.2019500732422
242,1713181392807.3264,1713181392199.5027,607.8236103057861
243,1713181392523.5632,1713181392199.991,323.57215881347656
244,1713181392651.5874,1713181392200.4797,451.1077404022217
245,1713181393298.1436,1713181392200.9592,1097.184419631958
246,1713181392719.2625,1713181392201.4873,517.7750587463379
247,1713181393182.324,1713181392201.9727,980.3512096405029
248,1713181393203.0603,1713181392202.4817,1000.5786418914795
249,1713181393180.9744,1713181392202.963,978.0113697052002
250,1713181393400.0095,1713181392203.4841,1196.5255737304688
251,1713181392305.6584,1713181392203.9688,101.68957710266113
252,1713181392401.4812,1713181392204.4553,197.02577590942383
253,1713181392782.8408,1713181392204.9414,577.8992176055908
254,1713181393061.0247,1713181392205.4114,855.6132316589355
255,1713181392471.6506,1713181392205.91,265.74063301086426
256,1713181392653.8052,1713181392300.438,353.3673286437988
257,1713181392888.1938,1713181392304.8623,583.3315849304199
258,1713181393249.9634,1713181392305.8777,944.0855979919434
259,1713181393238.4937,1713181392308.9983,929.4953346252441
260,1713181393541.4956,1713181392310.0034,1231.492042541504
261,1713181393195.96,1713181392312.0154,883.9447498321533
262,1713181393153.4673,1713181392314.151,839.3163681030273
263,1713181393187.6802,1713181392315.343,872.3373413085938
264,1713181393261.6572,1713181392329.0002,932.65700340271
265,1713181393207.3704,1713181392330.382,876.9881725311279
266,1713181393160.9983,1713181392331.826,829.1723728179932
267,1713181392766.3118,1713181392335.5872,430.7246208190918
268,1713181393392.4216,1713181392336.829,1055.5925369262695
269,1713181392806.4087,1713181392340.5527,465.85583686828613
270,1713181393247.2942,1713181392353.0183,894.2759037017822
271,1713181393412.0613,1713181392365.6743,1046.386957168579
272,1713181392701.44,1713181392366.7292,334.71059799194336
273,1713181392719.6145,1713181392370.3757,349.2388725280762
274,1713181393382.649,1713181392375.8743,1006.7746639251709
275,1713181392695.3584,1713181392379.1382,316.2200450897217
