ID,start,end,latency
0,1713181367861.73,1713181367622.0173,239.71247673034668
1,1713181367821.1475,1713181367622.926,198.22144508361816
2,1713181367917.0496,1713181367623.7292,293.3204174041748
3,1713181368008.634,1713181367624.537,384.0968608856201
4,1713181367765.8008,1713181367625.239,140.5618190765381
5,1713181367948.5725,1713181367625.9111,322.6611614227295
6,1713181367784.5103,1713181367626.5117,157.99832344055176
7,1713181367817.245,1713181367627.1177,190.12737274169922
8,1713181367873.1768,1713181367627.7856,245.3911304473877
9,1713181367931.8496,1713181367628.3252,303.5244941711426
10,1713181367752.7803,1713181367628.893,123.8870620727539
11,1713181367873.8174,1713181367629.406,244.41146850585938
12,1713181367891.5588,1713181367629.9092,261.64960861206055
13,1713181367810.223,1713181367630.5273,179.69560623168945
14,1713181367865.2097,1713181367631.0737,234.13610458374023
15,1713181367889.7634,1713181367631.5693,258.1939697265625
16,1713181368075.3828,1713181367632.0698,443.3128833770752
17,1713181367785.5095,1713181367632.5535,152.9560089111328
18,1713181367944.7856,1713181367633.1152,311.67030334472656
19,1713181367970.6484,1713181367633.5996,337.0490074157715
20,1713181367935.6543,1713181367634.1055,301.54895782470703
21,1713181367843.6707,1713181367634.6045,209.06615257263184
22,1713181367934.8486,1713181367635.0906,299.7579574584961
23,1713181367966.6035,1713181367635.646,330.95741271972656
24,1713181368015.1929,1713181367636.1594,379.03356552124023
25,1713181367976.481,1713181367636.6956,339.7853374481201
26,1713181368060.9897,1713181367637.2026,423.78711700439453
27,1713181367964.5454,1713181367637.6882,326.857328414917
28,1713181367984.2222,1713181367638.2583,345.9639549255371
29,1713181367809.3884,1713181367638.7517,170.63665390014648
30,1713181367825.3042,1713181367639.2373,186.0668659210205
31,1713181367978.5254,1713181367639.73,338.79542350769043
32,1713181367993.4373,1713181367640.2043,353.23286056518555
33,1713181367882.6875,1713181367640.8005,241.88709259033203
34,1713181367969.6074,1713181367641.4868,328.12047004699707
35,1713181368012.6382,1713181367642.109,370.5291748046875
36,1713181367811.5747,1713181367642.6716,168.90311241149902
37,1713181367871.0608,1713181367643.2734,227.78749465942383
38,1713181367751.2356,1713181367643.9343,107.30123519897461
39,1713181367840.8333,1713181367644.5195,196.31361961364746
40,1713181367914.802,1713181367645.0725,269.7296142578125
41,1713181367957.0728,1713181367645.5945,311.4781379699707
42,1713181367879.6428,1713181367646.1824,233.4604263305664
43,1713181367950.2607,1713181367648.2227,302.03795433044434
44,1713181367818.2969,1713181367648.788,169.5089340209961
45,1713181367877.0059,1713181367649.3198,227.68592834472656
46,1713181367963.9053,1713181367649.8467,314.0585422515869
47,1713181367828.2708,1713181367650.4407,177.82998085021973
48,1713181367947.9285,1713181367650.9705,296.95796966552734
49,1713181367980.9119,1713181367651.4749,329.4370174407959
50,1713181367925.8408,1713181367652.013,273.82802963256836
51,1713181368090.0002,1713181367652.681,437.319278717041
52,1713181367926.6604,1713181367653.3523,273.30803871154785
53,1713181368010.9143,1713181367653.9194,356.9948673248291
54,1713181367755.9097,1713181367654.5203,101.38940811157227
55,1713181367996.6206,1713181367655.1306,341.4900302886963
56,1713181367936.9434,1713181367655.6992,281.24403953552246
57,1713181367836.5642,1713181367656.437,180.12738227844238
58,1713181367774.0369,1713181367656.9875,117.0492172241211
59,1713181367762.321,1713181367657.5178,104.80308532714844
60,1713181367901.3167,1713181367658.0317,243.2849407196045
61,1713181367907.971,1713181367658.5542,249.41682815551758
62,1713181368018.436,1713181367659.1155,359.32040214538574
63,1713181367898.03,1713181367659.6187,238.41142654418945
64,1713181367871.7124,1713181367660.1206,211.5917205810547
