ID,start,end,latency
0,1713181361810.408,1713181361168.8245,641.5834426879883
1,1713181361644.8281,1713181361169.6929,475.13532638549805
2,1713181361608.682,1713181361170.485,438.19689750671387
3,1713181361615.3823,1713181361171.1333,444.24915313720703
4,1713181361708.7148,1713181361171.7573,536.9577407836914
5,1713181361630.9844,1713181361172.3665,458.6179256439209
6,1713181361748.1943,1713181361172.9612,575.232982635498
7,1713181361547.2532,1713181361173.5522,373.7008571624756
8,1713181361663.542,1713181361174.2498,489.2923831939697
9,1713181361684.7764,1713181361174.8337,509.94253158569336
10,1713181361736.4038,1713181361175.3823,561.0213279724121
11,1713181361675.3047,1713181361175.925,499.37963485717773
12,1713181361521.3142,1713181361176.5835,344.7306156158447
13,1713181361552.497,1713181361177.2754,375.22172927856445
14,1713181361820.1057,1713181361177.9695,642.1363353729248
15,1713181361489.98,1713181361178.698,311.2819194793701
16,1713181361527.636,1713181361179.521,348.1149673461914
17,1713181361741.3381,1713181361180.415,560.9230995178223
18,1713181361827.6204,1713181361181.2666,646.3537216186523
19,1713181361510.1655,1713181361182.206,327.9592990875244
20,1713181361571.1233,1713181361183.0774,388.0460262298584
21,1713181361637.7979,1713181361184.0046,453.7932872772217
22,1713181361591.8333,1713181361184.8093,407.0241451263428
23,1713181361903.7485,1713181361185.4177,718.3308601379395
24,1713181361738.8782,1713181361186.0024,552.8757572174072
25,1713181361630.1987,1713181361186.6616,443.53699684143066
26,1713181361560.638,1713181361187.2297,373.40831756591797
27,1713181361490.6577,1713181361187.7883,302.8695583343506
28,1713181361572.2778,1713181361188.3574,383.92043113708496
29,1713181361556.9397,1713181361189.8445,367.0952320098877
30,1713181361680.177,1713181361190.4963,489.68052864074707
31,1713181361493.8354,1713181361191.1033,302.7322292327881
32,1713181361723.8198,1713181361191.7026,532.1171283721924
33,1713181361755.5378,1713181361192.318,563.2195472717285
34,1713181361765.3672,1713181361192.8906,572.4766254425049
35,1713181361444.8833,1713181361193.6704,251.21283531188965
36,1713181361729.5679,1713181361194.6086,534.959077835083
37,1713181361776.3281,1713181361195.6113,580.7168483734131
38,1713181361498.9866,1713181361196.5479,302.43873596191406
39,1713181361793.3997,1713181361197.4976,595.9019660949707
40,1713181361596.3306,1713181361198.4897,397.8409767150879
41,1713181361700.0493,1713181361199.6326,500.41675567626953
42,1713181361713.4785,1713181361200.584,512.8946304321289
43,1713181361440.8718,1713181361201.4897,239.3820285797119
44,1713181361439.859,1713181361202.4385,237.42055892944336
45,1713181361750.1614,1713181361203.4043,546.7572212219238
46,1713181361862.9016,1713181361204.2896,658.6122512817383
47,1713181361725.039,1713181361205.1787,519.8602676391602
48,1713181361773.3584,1713181361206.3086,567.0497417449951
49,1713181361621.4912,1713181361207.3237,414.1674041748047
50,1713181361616.889,1713181361208.2156,408.6735248565674
51,1713181361843.4116,1713181361209.062,634.3495845794678
52,1713181361598.8528,1713181361209.9124,388.94057273864746
53,1713181361757.4731,1713181361210.7952,546.6780662536621
54,1713181361833.1477,1713181361211.6035,621.544361114502
55,1713181361516.0173,1713181361212.4236,303.59387397766113
56,1713181361681.8577,1713181361213.23,468.6276912689209
57,1713181361604.8113,1713181361214.1125,390.6986713409424
58,1713181361628.4575,1713181361214.939,413.51866722106934
59,1713181361829.5828,1713181361215.7358,613.8467788696289
60,1713181361640.4602,1713181361216.5151,423.94518852233887
61,1713181361912.833,1713181361217.3542,695.4786777496338
62,1713181361601.913,1713181361218.1492,383.76379013061523
63,1713181361678.1885,1713181361218.9407,459.2478275299072
64,1713181361720.3298,1713181361219.7205,500.6093978881836
65,1713181361814.5774,1713181361220.5442,594.0332412719727
66,1713181361520.4932,1713181361221.3157,299.1776466369629
67,1713181361522.2117,1713181361222.09,300.1217842102051
68,1713181361709.738,1713181361222.8433,486.8948459625244
69,1713181361588.3528,1713181361223.634,364.7186756134033
70,1713181361487.212,1713181361224.397,262.814998626709
71,1713181361477.8127,1713181361225.1685,252.64430046081543
72,1713181361909.749,1713181361225.8047,683.9444637298584
73,1713181361447.3252,1713181361226.4675,220.8576202392578
74,1713181361686.3372,1713181361227.067,459.2702388763428
75,1713181361436.1663,1713181361227.6338,208.53257179260254
76,1713181361617.5962,1713181361228.2034,389.3928527832031
77,1713181361728.5479,1713181361229.2007,499.3472099304199
78,1713181361714.67,1713181361229.7732,484.8966598510742
79,1713181361570.2654,1713181361230.368,339.89739418029785
80,1713181361648.0967,1713181361230.921,417.1760082244873
81,1713181361639.183,1713181361231.4697,407.7134132385254
82,1713181361563.304,1713181361232.055,331.2489986419678
83,1713181361599.6956,1713181361232.7493,366.9462203979492
