1000000,100000,10000000000,50000,0.09,0.90,0.01,0.90,0.00
179545,208,1417,4167,7291,167,209,333,1083,167,708,2958,4250
179545,250,375,667,5208,125,250,375,667,208,375,3000,4417
1000000,100000,10000000000,50000,0.09,0.90,0.01,0.50,0.00
179545,167,834,3000,5292,167,291,959,3750,208,333,3000,4333
179545,250,542,2750,5292,125,292,417,3041,209,2833,3875,4542
1000000,100000,10000000000,50000,0.09,0.90,0.01,0.90,0.05
179545,167,1250,3917,7000,167,292,583,3291,208,2667,3500,4417
179545,250,542,2625,5084,167,375,542,4208,250,2958,4000,4709
1000000,100000,10000000000,50000,0.09,0.90,0.01,0.50,0.05
179545,208,2125,4167,6958,167,458,1042,3334,250,458,3042,4375
179545,250,708,2791,5500,125,292,458,3917,209,2958,3959,4542
1000000,100000,10000000000,50000,0.09,0.90,0.01,0.90,0.50
179545,167,2750,4000,7084,208,541,708,4083,209,3000,3917,4500
179545,250,334,500,5166,125,250,375,542,208,292,417,625
1000000,100000,10000000000,50000,0.09,0.90,0.01,0.50,0.50
179545,167,2334,3417,4834,208,542,958,4125,250,917,3042,4459
179545,250,667,2792,5584,167,458,625,4250,250,2833,3875,4667
10000000,1000000,10000000000,50000,0.09,0.90,0.01,0.90,0.00
1798369,250,334,458,3125,250,459,917,4375,292,3000,3708,4625
1798369,416,834,2416,6375,333,584,958,4666,417,3000,4084,6375
10000000,1000000,10000000000,50000,0.09,0.90,0.01,0.50,0.00
1798369,250,292,500,3250,250,584,3000,4500,333,2708,3250,4583
1798369,375,833,1791,6208,375,625,792,4292,250,2667,3125,5042
10000000,1000000,10000000000,50000,0.09,0.90,0.01,0.90,0.05
1798369,250,333,2625,3333,167,584,875,4083,292,3083,3958,4584
1798369,375,833,2750,5458,208,500,708,4042,375,3083,4125,5208
10000000,1000000,10000000000,50000,0.09,0.90,0.01,0.50,0.05
1798369,250,292,458,3166,250,750,1834,4500,333,667,3166,4541
1798369,375,833,2666,5750,333,584,875,4542,250,2792,3500,5042
10000000,1000000,10000000000,50000,0.09,0.90,0.01,0.90,0.50
1798369,250,292,2958,3791,458,792,1125,4542,291,3000,3292,4542
1798369,375,834,2750,6250,292,667,1125,4625,417,3000,4042,6000
10000000,1000000,10000000000,50000,0.09,0.90,0.01,0.50,0.50
1798369,250,292,2916,4125,500,834,3416,4958,375,667,3292,4666
1798369,375,833,2083,6667,375,708,1042,4625,250,750,3208,5625
